MJD,m,dm,F,r,delta,alpha
58376.5111406111,17.896,0.068,o,18.715,17.72,0.463
58376.5192016111,18.109,0.072,o,18.715,17.72,0.463
58376.52115661111,18.065,0.085,o,18.715,17.72,0.463
58378.49062461111,17.949,0.047,o,18.715,17.717,0.368
58378.50070861111,17.94,0.052,o,18.715,17.717,0.368
58378.51081961111,18.043,0.062,o,18.715,17.717,0.367
58378.520927611105,17.964,0.055,o,18.715,17.717,0.367
58380.479529611104,17.86,0.079,o,18.716,17.715,0.282
58380.48957661111,18.345,0.144,o,18.716,17.715,0.281
58380.499568611114,18.238,0.11,o,18.716,17.715,0.281
58380.50965761111,18.068,0.087,o,18.716,17.715,0.281
58382.4680406111,17.825,0.058,o,18.716,17.715,0.216
58382.478121611115,18.14,0.079,o,18.716,17.715,0.216
58382.488303611106,17.866,0.064,o,18.716,17.715,0.215
58382.49844361111,17.857,0.06,o,18.716,17.715,0.215
58390.46973961111,17.94,0.059,o,18.719,17.725,0.392
58390.47978061112,17.98,0.063,o,18.719,17.725,0.393
58390.4898406111,17.941,0.069,o,18.719,17.725,0.393
58390.49985561112,17.983,0.067,o,18.719,17.725,0.394
58392.473905611114,18.165,0.083,o,18.72,17.731,0.49
58392.48392961111,18.159,0.092,o,18.72,17.731,0.49
58392.493934611106,18.254,0.105,o,18.72,17.731,0.491
58392.50397161111,18.127,0.09,o,18.72,17.731,0.491
58394.45847661111,18.087,0.057,o,18.72,17.737,0.59
58394.46856161111,18.041,0.059,o,18.72,17.737,0.59
58394.47862061111,18.117,0.065,o,18.72,17.737,0.591
58394.48858961111,17.963,0.059,o,18.72,17.737,0.591
58396.44834361111,18.172,0.124,o,18.721,17.745,0.691
58396.45837361111,18.105,0.155,o,18.721,17.745,0.692
58396.468430611116,17.978,0.151,o,18.721,17.745,0.692
58402.45148161111,18.404,0.076,c,18.723,17.776,0.998
58402.45334761112,18.408,0.066,c,18.723,17.776,0.998
58402.4620416111,18.329,0.069,c,18.723,17.776,0.999
58402.463903611104,18.445,0.064,c,18.723,17.776,0.999
58402.47202061111,18.607,0.102,c,18.723,17.776,0.999
58402.47395761111,18.393,0.061,c,18.723,17.776,1.0
58402.482480611114,18.433,0.071,c,18.723,17.776,1.0
58402.48455661111,18.427,0.066,c,18.723,17.776,1.0
58406.417501611104,18.27,0.07,o,18.724,17.803,1.197
58406.42757061111,18.214,0.064,o,18.724,17.803,1.198
58406.43759461111,18.248,0.069,o,18.724,17.803,1.198
58406.44765561111,18.168,0.064,o,18.724,17.803,1.199
58424.3882896111,18.259,0.094,o,18.729,17.975,2.012
58424.39015761111,18.319,0.113,o,18.729,17.975,2.012
58424.39833461111,18.426,0.095,o,18.729,17.975,2.012
58424.4002416111,18.276,0.092,o,18.729,17.975,2.013
58424.410263611106,18.332,0.1,o,18.729,17.975,2.013
58424.422236611106,18.251,0.094,o,18.729,17.975,2.013
58424.42412861111,18.403,0.113,o,18.729,17.975,2.013
58428.37911961111,18.376,0.097,o,18.73,18.024,2.167
58428.38098561111,18.326,0.097,o,18.73,18.024,2.167
58428.38916861111,18.27,0.083,o,18.73,18.024,2.168
58428.39103761111,18.186,0.1,o,18.73,18.024,2.168
58428.399089611106,18.467,0.097,o,18.73,18.024,2.168
58428.401045611114,18.223,0.092,o,18.73,18.024,2.168
58428.40904961111,18.218,0.076,o,18.73,18.024,2.168
58430.3957146111,18.396,0.063,c,18.731,18.05,2.241
58430.4057156111,18.519,0.075,c,18.731,18.05,2.242
58430.41572161111,18.556,0.073,c,18.731,18.05,2.242
58430.42561261111,18.441,0.079,c,18.731,18.05,2.242
58432.36868661111,18.259,0.089,o,18.732,18.076,2.311
58432.374327611105,18.257,0.09,o,18.732,18.076,2.311
58432.37869961111,18.252,0.08,o,18.732,18.076,2.311
58432.38867961111,18.132,0.072,o,18.732,18.076,2.312
58432.3985636111,18.311,0.091,o,18.732,18.076,2.312
58434.37636761112,18.723,0.086,c,18.732,18.104,2.379
58434.3862916111,18.51,0.065,c,18.732,18.104,2.379
58434.39614261112,18.63,0.082,c,18.732,18.104,2.379
58434.40597461111,18.784,0.091,c,18.732,18.104,2.38
58436.345275611115,18.332,0.111,o,18.733,18.131,2.442
58436.35538361112,18.583,0.154,o,18.733,18.132,2.442
